,Fecha,Importacion Francia,Exportacion Francia,Importacion Portugal,Exportacion Portugal,Importacion Marruecos,Exportacion Marruecos,Importacion Andorra,Exportacion Andorra,Saldo Francia,Saldo Portugal,Saldo Marruecos,Saldo Andorra
87,2019-05-01,1134.65,-41.45,331.34,-741.14,107.31,-30.2,0.0,-12.72,1176.1000000000001,1150213.3504,137.51,12.72
88,2019-06-01,826.08,-21.85,204.92,-523.93,87.28,-27.32,0.0,-8.3,847.9300000000001,531222.3224999999,114.6,8.3
89,2019-07-01,836.6,-59.45,333.21,-492.7,76.22,-35.29,0.0,-1.49,896.0500000000001,682127.3280999999,111.50999999999999,1.49
90,2019-08-01,1017.65,-43.58,177.4,-764.53,83.19,-104.58,0.0,-16.75,1061.23,887232.1248999999,187.76999999999998,16.75
91,2019-09-01,980.0,-167.8,244.16,-857.27,17.57,-96.88,0.0,-21.82,1147.8,1213148.0449,114.44999999999999,21.82
92,2019-10-01,1146.52,-153.0,314.72,-708.21,26.5,-30.78,0.0,-14.82,1299.52,1046385.7849000001,57.28,14.82
93,2019-11-01,341.6,-873.55,716.04,-516.88,82.19,-24.24,0.0,-22.56,1215.15,1520091.7264000003,106.42999999999999,22.56
94,2019-12-01,489.22,-885.27,1204.26,-360.59,51.75,-29.8,0.0,-20.77,1374.49,2448755.5224999995,81.55,20.77
95,2020-01-01,1313.56,-339.95,963.58,-466.12,63.79,-28.04,0.0,-24.44,1653.51,2044042.09,91.83,24.44
96,2020-02-01,1287.96,-111.73,488.11,-635.31,49.33,-23.39,0.0,-19.2,1399.69,1262072.4964,72.72,19.2
97,2020-03-01,1196.47,-406.78,470.68,-697.08,25.94,-73.14,0.0,-22.31,1603.25,1363663.4176,99.08,22.31
98,2020-04-01,1074.29,-282.67,293.47,-807.25,15.84,-54.25,0.0,-6.99,1356.96,1211584.5184000002,70.09,6.99
99,2020-05-01,1.96,-52.05,6.87,-40.48,0.17,-3.15,0.0,-0.17,54.01,2242.0224999999996,3.32,0.17
100,2020-05-01,1447.02,-94.58,272.51,-837.72,19.47,-35.1,0.01,-1.08,1541.6,1232610.6529,54.57,1.09
101,2020-06-01,1057.68,-264.85,240.77,-743.65,25.69,-46.73,0.0,-0.01,1322.5300000000002,969082.7363999999,72.42,0.01
102,2020-07-01,802.62,-467.89,175.24,-922.37,20.43,-53.81,0.0,-5.05,1270.51,1204747.7121000004,74.24000000000001,5.05
103,2020-08-01,705.36,-644.8,428.88,-622.87,33.05,-113.19,0.0,-26.11,1350.1599999999999,1106178.0625,146.24,26.11
104,2020-09-01,300.67,-1055.45,584.2,-423.58,35.1,-40.9,0.0,-25.67,1356.1200000000001,1015620.5284,76.0,25.67
105,2020-10-01,696.88,-770.64,662.51,-449.41,35.03,-51.05,0.0,-15.16,1467.52,1236366.0864000001,86.08,15.16
106,2020-11-01,975.44,-552.41,947.59,-249.4,47.64,-63.05,0.0,-14.89,1527.85,1432785.0601000001,110.69,14.89
107,2020-12-01,561.81,-1148.65,562.47,-658.31,38.28,-120.83,0.0,-35.08,1710.46,1490303.8084,159.11,35.08
